"ID";"№ реестра";"Наименование";"Обозначение типа";"Модификация";"Зав. номер";"Дата поверки";"Действ. до";"Пригоден";"Поверитель";"№ документа";"Производитель";"Время сохранения";"Поисковый запрос";"№ строки";"Id_ПУ";"Номер договора";"Код ЭДО";"Балансовая принадлежность";"Эксплуатационная ответственность";"МПИ"
"2-70219248";"30939-13";"Счетчики однофазные однотарифные активной электроэнергии СЕ101  ";"";"CE101 R5.1 145";"011124098363565";"30.11.2015";"30.11.2031";"1";"АО ""Концерн Энергомера""";"б/н";"Энергомера";"2026-03-04 11:36:04";"011124098363565";"1";"0057461995";"";"";"Не задано";"";"16.0"
"1-422949373";"34987-07";"Счетчики статические активной электрической энергии";"Лейне Электро-01";"Лейне Электро-01";"99651";"28.02.2025";"27.02.2041";"1";"ООО СЦ ""МЕТРОЛОГИЯ""";"С-ГТЦ/28-02-2025/422949373";"Другие";"2026-03-04 11:36:19";"99651";"2";"0059045782";"";"";"Не задано";"";"16.0"
"2-156483443";"55454-13";"Счетчики электрической энергии однофазные многофункциональные";"СЕ208";"CE208 R5.845.1.OP.Q PL04 IEC";"012270144725561";"04.09.2019";"04.09.2035";"1";"АО ""КОНЦЕРН ЭНЕРГОМЕРА""";"б/н";"Энергомера";"2026-03-04 11:36:34";"012270144725561";"4";"0063819391";"";"";"Потребитель";"Энергосистема";"16.0"
"1-454283611";"66753-17";"Счетчики электрической энергии статические однофазные";"ФОБОС 1";"ФОБОС 1 230В 5(80)А IQOLM(1)-C";"11553781";"07.08.2025";"06.08.2041";"1";"ООО ""ТЕЛЕМАТИЧЕСКИЕ РЕШЕНИЯ""";"С-ЕКК/07-08-2025/454283611";"Другие";"2026-03-04 11:36:38";"11553781";"5";"0066640960";"";"";"Не задано";"";"10.0"
"1-252047082";"23345-07";"Счетчики электрической энергии трехфазные статические";"""Меркурий 230""";"Меркурий 230 ART-01 MCLN";"13197296";"01.06.2023";"31.05.2033";"1";"ООО ""НПК""";"С-ГЕП/01-06-2023/252047082";"Меркурий (Инкотекс)";"2026-03-04 11:36:47";"13197296";"7";"0066873289";"";"";"Не задано";"";"10.0"
"1-250748712";"71336-18";"Счетчики электрической энергии трехфазные многотарифные";"ЛЕ-3";"ЛЕ-3D2 1.0АR Е4 RF3 SCM 22";"15000015";"29.05.2023";"28.05.2039";"1";"ФБУ ""ТЕСТ-С.-ПЕТЕРБУРГ""";"С-СП/29-05-2023/250748712";"Другие";"2026-03-04 11:36:54";"15000015";"9";"0069010481";"";"";"Не задано";"";"16.0"
"1-439069147";"76979-19";"Счетчики электрической энергии однофазные электронные";"ПУЛЬСАР 1";"1ТшО-5/60-1-ПД1-1/2К-2";"15000015";"22.05.2025";"21.05.2041";"1";"ООО НПП ""ТЕПЛОВОДОХРАН""";"С-ГЖФ/22-05-2025/439069147";"Другие";"2026-03-04 11:36:54";"15000015";"9";"0069010481";"";"";"Не задано";"";"16.0"
"2-86350459";"58383-14";"Счетчики электрической энергии электронные однофазные";"";"НЕВА 103 1S0 230V 5(60)A (5din)";"00008437";"15.01.2016";"15.01.2032";"1";"ООО ""Тайпит-ИП""";"б/н";"Нева (Тайпит)";"2026-03-04 11:36:58";"00008437";"10";"0071522275";"";"";"Не задано";"";"16.0"
"2-86227858";"58383-14";"Счетчики электрической энергии электронные однофазные";"";"НЕВА 101 1S0 230V 5(60)А 50Hz";"00008437";"13.01.2016";"13.01.2032";"1";"ООО ""Тайпит-ИП""";"б/н";"Нева (Тайпит)";"2026-03-04 11:36:58";"00008437";"10";"0071522275";"";"";"Не задано";"";"16.0"
"2-102535705";"58383-14";"Счетчики электрической энергии электронные однофазные";"";"НЕВА 103/5 1S0 230V 5(80)А";"00008437";"09.11.2016";"09.11.2032";"1";"ООО ""Тайпит-ИП""";"б/н";"Нева (Тайпит)";"2026-03-04 11:36:58";"00008437";"10";"0071522275";"";"";"Не задано";"";"16.0"
"2-102546500";"58382-14";"Счетчики электрической энергии электронные трехфазные";"";"НЕВА 301 1S0 230V 5(100)A";"00008437";"09.11.2016";"09.11.2032";"1";"ООО ""Тайпит-ИП""";"б/н";"Нева (Тайпит)";"2026-03-04 11:36:58";"00008437";"10";"0071522275";"";"";"Не задано";"";"16.0"
"2-99823391";"58383-14";"Счетчики электрической энергии электронные однофазные";"";"НЕВА 106/5 1S0 230V 5(60)A";"00008437";"20.09.2016";"20.09.2032";"1";"ООО ""Тайпит-ИП""";"б/н";"Нева (Тайпит)";"2026-03-04 11:36:58";"00008437";"10";"0071522275";"";"";"Не задано";"";"16.0"
"2-100933995";"58383-14";"Счетчики электрической энергии электронные однофазные";"";"НЕВА 104 1S0 230V 5(60)А 50Hz";"00008437";"07.10.2016";"07.10.2032";"1";"ООО ""Тайпит-ИП""";"б/н";"Нева (Тайпит)";"2026-03-04 11:36:58";"00008437";"10";"0071522275";"";"";"Не задано";"";"16.0"
"2-102054829";"58382-14";"Счетчики электрической энергии электронные трехфазные";"";"НЕВА 306 1S0 230V 5(100)А";"00008437";"28.10.2016";"28.10.2032";"1";"ООО ""Тайпит-ИП""";"б/н";"Нева (Тайпит)";"2026-03-04 11:36:58";"00008437";"10";"0071522275";"";"";"Не задано";"";"16.0"
"2-98037367";"58382-14";"Счетчики электрической энергии электронные трехфазные";"";"НЕВА 303 1S0 230V 5(100)А";"00008437";"22.08.2016";"22.08.2032";"1";"ООО ""Тайпит-ИП""";"б/н";"Нева (Тайпит)";"2026-03-04 11:36:58";"00008437";"10";"0071522275";"";"";"Не задано";"";"16.0"
"1-138164294";"26593-04";"Счетчики ватт-часов активной энергии переменного тока электронные";"Меркурий-202";"Меркурий 202.1";"00008437";"05.03.2022";"04.03.2038";"1";"ООО ""ЭНЕРГОПРОМРЕСУРС""";"С-ДЛВ/05-03-2022/138164294";"Меркурий (Инкотекс)";"2026-03-04 11:36:58";"00008437";"10";"0071522275";"";"";"Не задано";"";"16.0"
"1-219618664";"76292-19";"Счетчики электрической энергии статические однофазные интеллектуальные";"БУЛАТ-32";"БУЛАТ-32";"00008437";"27.01.2023";"26.01.2039";"1";"ФБУ ""РОСТЕСТ-МОСКВА""";"С-ТТ/27-01-2023/219618664";"Другие";"2026-03-04 11:36:58";"00008437";"10";"0071522275";"";"";"Не задано";"";"16.0"
"1-288620374";"75453-19";"Счетчики электрической энергии трехфазные";"НЕВА СП3";"НЕВА СП311 2AR 29 BCS-L1/R4";"00008437";"07.09.2023";"06.09.2039";"1";"ООО ""ТАЙПИТ-ИП""";"С-ГЕЧ/07-09-2023/288620374";"Нева (Тайпит)";"2026-03-04 11:36:58";"00008437";"10";"0071522275";"";"";"Не задано";"";"16.0"
"2-67784202";"33334-09";"Счетчики электрической энергии электронные НЕВА";"";"НЕВА 103 1S0 220V 5(60)А 50Hz";"288919";"31.07.2014";"31.07.2030";"1";"ООО ""Тайпит-ИП""";"нет";"Нева (Тайпит)";"2026-03-04 11:37:06";"288919";"11";"0071544920";"";"";"Не задано";"";"16.0"
"2-67930902";"33334-09";"Счетчики электрической энергии электронные НЕВА";"";"НЕВА 101 1S0 220V 5(60)А 50Hz";"288919";"15.08.2014";"15.08.2030";"1";"ООО ""Тайпит-ИП""";"нет";"Нева (Тайпит)";"2026-03-04 11:37:06";"288919";"11";"0071544920";"";"";"Не задано";"";"16.0"
"2-76187597";"58383-14";"Счетчик электрической энергии электронный однофазный НЕВА 1";"";"НЕВА 101 1S0 230V 5(60)А 50Hz";"288919";"11.08.2015";"11.08.2031";"1";"ООО ""Тайпит-ИП""";"нет";"Нева (Тайпит)";"2026-03-04 11:37:06";"288919";"11";"0071544920";"";"";"Не задано";"";"16.0"
"2-69654916";"33446-08";"Счетчики активной и реактивной электрической энергии трехфазные СЕ303 ";"";"CE303 S31 543-JAVZ(12)";"008984099089942";"09.12.2015";"09.12.2031";"1";"АО ""Концерн Энергомера""";"б/н";"Энергомера";"2026-03-04 11:37:12";"008984099089942";"13";"0073158638";"";"";"Не задано";"";"16.0"
"2-69088958";"55454-13";"Счетчики электрической энергии однофазные многофункциональные СЕ208  ";"";"CE208 R5.845.1.OP.Q PL01";"011240099640140";"21.12.2015";"21.12.2031";"1";"АО ""Концерн Энергомера""";"б/н";"Энергомера";"2026-03-04 11:37:23";"011240099640140";"17";"0076362919";"";"";"Не задано";"";"16.0"
"2-11104945";"37761-08";"Счетчики статических активной электрической энергии многотарифных";"";"нет данных ";"18234";"26.02.2010";"26.02.2026";"1";"ФБУ «Мордовский ЦСМ»";"нет данных";"Другие";"2026-03-04 11:37:36";"18234";"18";"0078394658";"";"";"Не задано";"";"16.0"
"2-11104953";"37761-08";"Счетчики статических активной электрической энергии многотарифных";"";"нет данных ";"18234";"26.02.2010";"26.02.2026";"1";"ФБУ «Мордовский ЦСМ»";"нет данных";"Другие";"2026-03-04 11:37:36";"18234";"18";"0078394658";"";"";"Не задано";"";"16.0"
"1-15427326";"55522-13";"Интеллектуальные приборы учета электроэнергии";"РиМ 384.01/2, РиМ 384.02/2";"РиМ 384.01";"18234";"30.10.2020";"29.10.2030";"1";"Западно-Сибирский филиал ФГУП ""ВНИИФТРИ""";"Нет данных";"Другие";"2026-03-04 11:37:36";"18234";"18";"0078394658";"";"";"Не задано";"";"16.0"
"1-196754591";"22827-02";"Счетчики электрической энергии однофазные электронные";"СОЭБ-1";"исполнение СОЭБ-1П";"18234";"24.10.2022";"23.10.2030";"1";"ФБУ «КУЗБАССКИЙ ЦСМ»";"С-БЧ/24-10-2022/196754591";"Другие";"2026-03-04 11:37:36";"18234";"18";"0078394658";"";"";"Не задано";"";"16.0"
"1-360431008";"34987-08";"Счетчики статические активной электрической энергии";"Лейне Электро-01";"Лейне Электро-01";"18234";"28.07.2024";"27.07.2040";"1";"ООО СЦ ""МЕТРОЛОГИЯ""";"С-ГТЦ/28-07-2024/360431008";"Другие";"2026-03-04 11:37:36";"18234";"18";"0078394658";"";"";"Не задано";"";"16.0"
"1-444549152";"37761-08";"Счетчики статические активной электрической энергии многотарифные";"Лейне Электро-01М";"Лейне Электро-01";"18234";"09.06.2025";"08.06.2041";"1";"ООО СЦ ""МЕТРОЛОГИЯ""";"С-ГТЦ/09-06-2025/444549152";"Другие";"2026-03-04 11:37:36";"18234";"18";"0078394658";"";"";"Не задано";"";"16.0"
"1-268211338";"23345-07";"Счетчики электрической энергии трехфазные статические";"""Меркурий 230""";"Меркурий 230 ART-02 CLN";"17608681";"03.08.2023";"02.08.2033";"1";"ООО ""НПК""";"С-ГЕП/03-08-2023/268211338";"Меркурий (Инкотекс)";"2026-03-04 11:37:43";"17608681";"20";"0081427647";"";"";"Потребитель";"Энергосистема";"10.0"
"1-355599736";"23345-07";"Счетчики электрической энергии трехфазные статические";"""Меркурий 230""";"Меркурий 230";"17608681";"16.07.2024";"15.07.2034";"1";"ООО ""НПК ""ИНКОТЕКС""";"С-ГЯР/16-07-2024/355599736";"Меркурий (Инкотекс)";"2026-03-04 11:37:43";"17608681";"20";"0081427647";"";"";"Потребитель";"Энергосистема";"10.0"
"2-164050806";"61544-15";"Счетчики электрической энергии однофазные многотарифные";"НЕВА МТ 1";"НЕВА МТ 124 AS O 230 5(60)A";"20299024";"22.11.2019";"22.11.2035";"1";"ООО ""Тайпит-ИП""";"б/н";"Нева (Тайпит)";"2026-03-04 11:37:50";"20299024";"22";"0083274666";"";"";"Потребитель";"Энергосистема";"10.0"
"1-362057953";"23345-07";"Счетчики электрической энергии трехфазные статические";"""Меркурий 230""";"Меркурий 230 ART-03 PQRSIDN";"20299024";"05.08.2024";"04.08.2034";"1";"ООО ИИГ ""КАРНЕОЛ""";"С-ДСИ/05-08-2024/362057953";"Меркурий (Инкотекс)";"2026-03-04 11:37:50";"20299024";"22";"0083274666";"";"";"Потребитель";"Энергосистема";"10.0"
"2-129134693";"33446-08";"Счетчики активной и реактивной электрической энергии трехфазные";"";"CE303 S31 543 JPVZ PLC 1111";"011343133955367";"12.10.2018";"12.10.2034";"1";"АО ""Концерн Энергомера""";"б/н";"Другие";"2026-03-04 11:37:57";"011343133955367";"23";"0083576783";"";"";"Потребитель";"Энергосистема";"16.0"
"2-147477178";"33446-08";"Счетчики активной и реактивной электрической энергии трехфазные";"СЕ 303";"CE303 S31 543 JPVZ PLC 1111";"011343133955367";"24.12.2018";"24.12.2034";"1";"АО ""КОНЦЕРН ЭНЕРГОМЕРА""";"б/н";"Энергомера";"2026-03-04 11:37:57";"011343133955367";"23";"0083576783";"";"";"Потребитель";"Энергосистема";"16.0"
"1-425686198";"30939-07";"Счетчики однофазные однотарифные активной электроэнергии";"СЕ 101";"СЕ 101";"007789018048111";"08.04.2025";"07.04.2041";"1";"ООО ""НПК""";"С-ГЕП/08-04-2025/425686198";"Энергомера";"2026-03-04 11:37:59";"007789018048111";"24";"0084154587";"";"";"Не задано";"";"16.0"
"2-147855470";"30939-13";"Счетчики однофазные однотарифные активной электроэнергии";"СЕ 101";"CE101 R5.1 145 M6";"011067135222273";"22.12.2018";"22.12.2034";"1";"АО ""КОНЦЕРН ЭНЕРГОМЕРА""";"б/н";"Энергомера";"2026-03-04 11:38:11";"011067135222273";"28";"0093616512";"";"";"Потребитель";"Энергосистема";"16.0"
"1-252047079";"23345-07";"Счетчики электрической энергии трехфазные статические";"""Меркурий 230""";"Меркурий 230 ART-01 MCLN";"13196941";"01.06.2023";"31.05.2033";"1";"ООО ""НПК""";"С-ГЕП/01-06-2023/252047079";"Меркурий (Инкотекс)";"2026-03-04 11:38:13";"13196941";"29";"0095343940";"";"";"Не задано";"";"10.0"
"1-119251812";"70167-18";"Счетчики электрической энергии однофазные электронные многотарифные";"E31 412-200";"E31 412-200 5(80)A";"27010743";"29.11.2021";"28.11.2037";"1";"ООО ""ТАЙПИТ-ИП""";"С-ГЕЧ/29-11-2021/119251812";"Другие";"2026-03-04 11:38:16";"27010743";"30";"0097376186";"";"";"Не задано";"";"10.0"
"2-42555645";"33334-09";"Счетчики электрической энергии электронные НЕВА";"";"НЕВА 101 1S0 220V 5(60)А 50Hz";"385418";"14.10.2013";"14.10.2029";"1";"ООО ""Тайпит-ИП""";"нет";"Нева (Тайпит)";"2026-03-04 11:38:24";"385418";"31";"0098156790";"";"";"Не задано";"";"16.0"
"2-67580174";"33334-09";"Счетчики электрической энергии электронные НЕВА";"";"НЕВА 101 1S0 220V 5(60)А 50Hz";"385418";"11.06.2014";"11.06.2030";"1";"ООО ""Тайпит-ИП""";"нет";"Нева (Тайпит)";"2026-03-04 11:38:24";"385418";"31";"0098156790";"";"";"Не задано";"";"16.0"
"2-71521278";"58383-14";"Счетчик электрической энергии электронный однофазный НЕВА 1";"";"НЕВА 101 1S0 230V 5(60)А 50Hz";"385418";"03.11.2015";"03.11.2031";"1";"ООО ""Тайпит-ИП""";"нет                                                             ";"Нева (Тайпит)";"2026-03-04 11:38:24";"385418";"31";"0098156790";"";"";"Не задано";"";"16.0"
"1-312497744";"81345-21";"Счетчики электрической энергии однофазные статические";"AD11A.M, AD11S.M";"AD11A.M1.1-FLRs-R (1-18-1)";"06401599";"22.01.2024";"21.01.2040";"1";"ФБУ ""РОСТЕСТ-МОСКВА""";"С-МА/22-01-2024/312497744";"Другие";"2026-03-04 11:38:35";"06401599";"35";"0103035282";"";"";"Не задано";"";"16.0"
"2-21850546";"нет данных";"Счетчики электроэнергии электронные однофазные";"";"нет данных ";"010211";"05.05.2011";"05.05.2012";"1";"ФБУ «Рязанский ЦСМ»";"0";"Другие";"2026-03-04 11:39:04";"010211";"39";"0105597559";"";"";"Не задано";"";"8.0"
"2-42878087";"33334-09";"Счетчики электрической энергии электронные НЕВА";"";"НЕВА 301 1SО  220V 5(100)A";"010211";"03.10.2013";"03.10.2029";"1";"ООО ""Тайпит-ИП""";"нет";"Нева (Тайпит)";"2026-03-04 11:39:04";"010211";"39";"0105597559";"";"";"Не задано";"";"8.0"
"2-67747699";"47430-11";"Счетчики электрической энергии трехфазные многотарифные НЕВА МТ 3";"";"НЕВА МТ 323 1.0 AR E4S 5(60)А 230V";"010211";"18.07.2014";"18.07.2026";"1";"ООО ""Тайпит-ИП""";"нет";"Нева (Тайпит)";"2026-03-04 11:39:04";"010211";"39";"0105597559";"";"";"Не задано";"";"8.0"
"2-67831187";"33334-09";"Счетчики электрической энергии электронные НЕВА";"";"НЕВА 306 1S0 220V 5(100)А";"010211";"01.08.2014";"01.08.2030";"1";"ООО ""Тайпит-ИП""";"нет";"Нева (Тайпит)";"2026-03-04 11:39:04";"010211";"39";"0105597559";"";"";"Не задано";"";"8.0"
"2-68333026";"56832-14";"Счетчики электрической энергии однофазные многотарифные НЕВА МТ 1";"";"НЕВА МТ 123 AS E4P 5(60)A";"010211";"10.11.2014";"10.11.2030";"1";"ООО ""Тайпит-ИП""";"нет";"Нева (Тайпит)";"2026-03-04 11:39:04";"010211";"39";"0105597559";"";"";"Не задано";"";"8.0"
"2-67035250";"33334-09";"Счетчики электрической энергии электронные НЕВА";"";"НЕВА 303 1S0  220V 5(60)А";"010211";"18.03.2014";"18.03.2030";"1";"ООО ""Тайпит-ИП""";"нет";"Нева (Тайпит)";"2026-03-04 11:39:04";"010211";"39";"0105597559";"";"";"Не задано";"";"8.0"
"2-67868289";"33334-09";"Счетчики электрической энергии электронные НЕВА";"";"НЕВА 106 1S0 220V 5(60)А 50Hz";"010211";"11.08.2014";"11.08.2030";"1";"ООО ""Тайпит-ИП""";"нет";"Нева (Тайпит)";"2026-03-04 11:39:04";"010211";"39";"0105597559";"";"";"Не задано";"";"8.0"
"2-66931129";"33334-09";"Счетчики электрической энергии электронные НЕВА";"";"НЕВА 104 1S0 220V 5(60)А 50Hz";"010211";"26.02.2014";"26.02.2030";"1";"ООО ""Тайпит-ИП""";"нет";"Нева (Тайпит)";"2026-03-04 11:39:04";"010211";"39";"0105597559";"";"";"Не задано";"";"8.0"
"2-66942345";"40300-08";"Счетчики электрической энергии однофазные многотарифные НЕВА МТ 1";"";"НЕВА МТ 113 AS OP 5(100)A";"010211";"04.03.2014";"04.03.2030";"1";"ООО ""Тайпит-ИП""";"нет";"Нева (Тайпит)";"2026-03-04 11:39:04";"010211";"39";"0105597559";"";"";"Не задано";"";"8.0"
"2-67013553";"33334-09";"Счетчики электрической энергии электронные НЕВА";"";"НЕВА 103 1S0 220V 5(80)А 50Hz";"010211";"07.02.2014";"07.02.2030";"1";"ООО ""Тайпит-ИП""";"нет";"Нева (Тайпит)";"2026-03-04 11:39:04";"010211";"39";"0105597559";"";"";"Не задано";"";"8.0"
"2-67029033";"33334-09";"Счетчики электрической энергии электронные НЕВА";"";"НЕВА 303 1S0  220V 5(100)А";"010211";"13.03.2014";"13.03.2030";"1";"ООО ""Тайпит-ИП""";"нет";"Нева (Тайпит)";"2026-03-04 11:39:04";"010211";"39";"0105597559";"";"";"Не задано";"";"8.0"
"2-77591199";"58383-14";"Счетчик электрической энергии электронный однофазный НЕВА 1";"";"НЕВА 103/5 1S0 230V 5(80)А";"010211";"15.07.2015";"15.07.2031";"1";"ООО ""Тайпит-ИП""";"нет";"Нева (Тайпит)";"2026-03-04 11:39:04";"010211";"39";"0105597559";"";"";"Не задано";"";"8.0"
"2-78559062";"58382-14";"Счетчик электрической энергии электронный трехфазный НЕВА 3";"";"НЕВА 306 1S0 230V 5(60)А";"010211";"29.06.2015";"29.06.2031";"1";"ООО ""Тайпит-ИП""";"нет";"Нева (Тайпит)";"2026-03-04 11:39:04";"010211";"39";"0105597559";"";"";"Не задано";"";"8.0"
"2-79335878";"56832-14";"Счетчики электрической энергии однофазные многотарифные НЕВА МТ 1";"";"НЕВА МТ 124 1.0 AS OP 230 5(60)A";"010211";"11.06.2015";"11.06.2031";"1";"ООО ""Тайпит-ИП""";"нет";"Нева (Тайпит)";"2026-03-04 11:39:04";"010211";"39";"0105597559";"";"";"Не задано";"";"8.0"
"2-72944269";"56832-14";"Счетчики электрической энергии однофазные многотарифные НЕВА МТ 1";"";"НЕВА МТ 113 AS OP 5(100)A";"010211";"09.10.2015";"09.10.2031";"1";"ООО ""Тайпит-ИП""";"нет";"Нева (Тайпит)";"2026-03-04 11:39:04";"010211";"39";"0105597559";"";"";"Не задано";"";"8.0"
"2-83256747";"33334-09";"Счетчики электрической энергии электронные НЕВА";"";"НЕВА МТ 324 1.0 AR E4S 230V 5(60)А";"010211";"19.03.2015";"19.03.2031";"1";"ООО ""Тайпит-ИП""";"нет";"Нева (Тайпит)";"2026-03-04 11:39:04";"010211";"39";"0105597559";"";"";"Не задано";"";"8.0"
"2-85918266";"58382-14";"Счетчик электрической энергии электронный трехфазный НЕВА 3";"";"НЕВА 306 1S0 220V 5(100)А";"010211";"13.01.2015";"13.01.2031";"1";"ООО ""Тайпит-ИП""";"нет";"Нева (Тайпит)";"2026-03-04 11:39:04";"010211";"39";"0105597559";"";"";"Не задано";"";"8.0"
"2-85972790";"58383-14";"Счетчик электрической энергии электронный однофазный НЕВА 1";"";"НЕВА 101 1S0 220V 5(60)А 50Hz";"010211";"12.01.2015";"12.01.2031";"1";"ООО ""Тайпит-ИП""";"нет";"Нева (Тайпит)";"2026-03-04 11:39:04";"010211";"39";"0105597559";"";"";"Не задано";"";"8.0"
"2-86011206";"58383-14";"Счетчик электрической энергии электронный однофазный НЕВА 1";"";"НЕВА 103 1S0 220V 5(60)A (5din)";"010211";"12.01.2015";"12.01.2031";"1";"ООО ""Тайпит-ИП""";"нет";"Нева (Тайпит)";"2026-03-04 11:39:04";"010211";"39";"0105597559";"";"";"Не задано";"";"8.0"
"2-79967360";"58382-14";"Счетчик электрической энергии электронный трехфазный НЕВА 3";"";"НЕВА 303 1S0 230V 5(100)А";"010211";"29.05.2015";"29.05.2031";"1";"ООО ""Тайпит-ИП""";"нет";"Нева (Тайпит)";"2026-03-04 11:39:04";"010211";"39";"0105597559";"";"";"Не задано";"";"8.0"
"1-239312140";"55522-13";"Интеллектуальные приборы учета электроэнергии";"РиМ 384.01/2, РиМ 384.02/2";"мод. РиМ 384.02";"010211";"24.10.2022";"23.10.2032";"1";"ФБУ ""НОВОСИБИРСКИЙ ЦСМ""";"С-НН/24-10-2022/239312140";"Другие";"2026-03-04 11:39:04";"010211";"39";"0105597559";"";"";"Не задано";"";"8.0"
"1-203713810";"13119-03";"Счетчики электрической энергии";"ЦЭ6807";"ЦЭ6807БК";"010211";"17.11.2022";"16.11.2038";"1";"ООО ""ИНЭКС СЕРТ""";"С-ДИЭ/17-11-2022/203713810";"Инкотекс";"2026-03-04 11:39:04";"010211";"39";"0105597559";"";"";"Не задано";"";"8.0"
"1-307945561";"15238-03";"Счетчики электрической энергии однофазные электронные";"ЦЭ 2705";"ЦЭ2705-3";"010211";"01.12.2023";"30.11.2039";"1";"ФБУ ""ЦСМ Татарстан""";"С-АМ/01-12-2023/307945561";"Инкотекс";"2026-03-04 11:39:04";"010211";"39";"0105597559";"";"";"Не задано";"";"8.0"
"2-81984699";"33446-08";"Счетчики активной и реактивной электрической энергии трехфазные СЕ303 ";"";"CE303 S31 543-JAVZ(12)";"008984091485585";"13.04.2015";"13.04.2031";"1";"ОАО ""Концерн Энергомера""";"б/н";"Энергомера";"2026-03-04 11:39:07";"008984091485585";"40";"0105672986";"";"";"Не задано";"";"16.0"
"1-30307957";"46746-11";"Счетчики электрической энергии статические однофазные";"Меркурий 206";"Меркурий 206";"17573264";"18.01.2021";"18.01.2037";"1";"ООО ""НПК ""ИНКОТЕКС""";"С-ГЯР/18-01-2021/30307957";"Меркурий (Инкотекс)";"2026-03-04 11:39:10";"17573264";"41";"0108624551";"";"";"Потребитель";"Энергосистема";"16.0"
"2-41086312";"33334-09";"Счетчики электрической энергии электронные НЕВА";"";"НЕВА 103 1S0 220V 5(60)А 50Hz";"433357";"25.11.2013";"25.11.2029";"1";"ООО ""Тайпит-ИП""";"нет";"Нева (Тайпит)";"2026-03-04 11:39:34";"433357";"46";"0112675218";"";"";"Потребитель";"Энергосистема";"16.0"
"2-42071548";"33334-09";"Счетчики электрической энергии электронные НЕВА";"";"НЕВА 103 1S0 220V 5(60)А 50Hz";"433357";"28.10.2013";"28.10.2029";"1";"ООО ""Тайпит-ИП""";"нет";"Нева (Тайпит)";"2026-03-04 11:39:34";"433357";"46";"0112675218";"";"";"Потребитель";"Энергосистема";"16.0"
